t,fundingRate
2024-11-14 08:00:00.000,0.00022651
2024-11-14 16:00:00.000,0.0001
2024-11-15 00:00:00.000,0.0001
2024-11-15 08:00:00.000,0.0001
2024-11-15 16:00:00.000,0.0001
2024-11-16 00:00:00.001,0.0001
2024-11-16 08:00:00.001,0.0001
2024-11-16 16:00:00.000,0.0001
2024-11-17 00:00:00.000,0.0001
2024-11-17 08:00:00.000,0.0001
2024-11-17 16:00:00.001,0.00019468
2024-11-18 00:00:00.000,0.0001
2024-11-18 08:00:00.000,0.00022092
2024-11-18 16:00:00.000,0.00019442
2024-11-19 00:00:00.000,0.00020574
2024-11-19 08:00:00.000,0.00015208
2024-11-19 16:00:00.000,0.0001
2024-11-20 00:00:00.003,0.0001
2024-11-20 08:00:00.000,0.0001
2024-11-20 16:00:00.000,0.0001
2024-11-21 00:00:00.001,0.0001
2024-11-21 08:00:00.000,0.0001
2024-11-21 16:00:00.001,0.0001
2024-11-22 00:00:00.000,0.00021232
2024-11-22 08:00:00.000,0.00017232
2024-11-22 16:00:00.001,0.00021814
2024-11-23 00:00:00.000,0.00010229
2024-11-23 08:00:00.000,0.00029599
2024-11-23 16:00:00.000,0.00017214
2024-11-24 00:00:00.001,0.00025007
2024-11-24 08:00:00.000,0.00010951
2024-11-24 16:00:00.000,0.00019796
2024-11-25 00:00:00.000,0.0001
2024-11-25 08:00:00.000,0.00026421
2024-11-25 16:00:00.000,0.0001
2024-11-26 00:00:00.000,0.00017143
2024-11-26 08:00:00.000,0.00015047
2024-11-26 16:00:00.000,0.0001
2024-11-27 00:00:00.000,0.0001
2024-11-27 08:00:00.000,0.00017387
2024-11-27 16:00:00.001,0.00023065
2024-11-28 00:00:00.000,0.00023628
2024-11-28 08:00:00.000,0.00026722
2024-11-28 16:00:00.000,0.00010647
2024-11-29 00:00:00.000,0.00015453
2024-11-29 08:00:00.000,0.00022415
2024-11-29 16:00:00.000,0.00042256
2024-11-30 00:00:00.000,0.00027957
2024-11-30 08:00:00.000,0.00017256
2024-11-30 16:00:00.000,0.00019501
2024-12-01 00:00:00.000,0.00028586
2024-12-01 08:00:00.000,0.00017793
2024-12-01 16:00:00.000,0.0001
2024-12-02 00:00:00.001,0.00033726
2024-12-02 08:00:00.001,0.0003257
2024-12-02 16:00:00.000,0.0002236
2024-12-03 00:00:00.000,0.000306
2024-12-03 08:00:00.000,0.00034781
2024-12-03 16:00:00.000,0.0001642
2024-12-04 00:00:00.000,0.00033967
2024-12-04 08:00:00.000,0.00050887
2024-12-04 16:00:00.000,0.00034919
2024-12-05 00:00:00.001,0.00014742
2024-12-05 08:00:00.000,0.00043224
2024-12-05 16:00:00.000,0.0005001
2024-12-06 00:00:00.000,0.00035497
2024-12-06 08:00:00.000,0.00040467
2024-12-06 16:00:00.000,0.00026238
2024-12-07 00:00:00.000,0.00041395
2024-12-07 08:00:00.000,0.00037737
2024-12-07 16:00:00.000,0.00024422
2024-12-08 00:00:00.000,0.00037569
2024-12-08 08:00:00.000,0.00028309
2024-12-08 16:00:00.000,0.00038296
2024-12-09 00:00:00.000,0.00043436
2024-12-09 08:00:00.000,0.00031767
2024-12-09 16:00:00.001,0.0001
2024-12-10 00:00:00.007,0.0001
2024-12-10 08:00:00.000,0.0001
2024-12-10 16:00:00.000,0.0001
2024-12-11 00:00:00.000,0.0001
2024-12-11 08:00:00.000,0.0001
2024-12-11 16:00:00.001,0.0001
2024-12-12 00:00:00.001,6.5e-05
2024-12-12 08:00:00.000,0.0001
2024-12-12 16:00:00.001,0.0001
2024-12-13 00:00:00.000,0.0001
2024-12-13 08:00:00.000,0.0001
2024-12-13 16:00:00.001,0.0001
2024-12-14 00:00:00.000,0.0001
2024-12-14 08:00:00.000,0.0001
2024-12-14 16:00:00.000,0.0001
2024-12-15 00:00:00.000,0.0001
2024-12-15 08:00:00.000,0.0001
2024-12-15 16:00:00.000,0.0001
2024-12-16 00:00:00.000,0.0001
2024-12-16 08:00:00.001,0.0001
2024-12-16 16:00:00.000,0.0001
2024-12-17 00:00:00.000,0.0001
2024-12-17 08:00:00.000,0.0001
2024-12-17 16:00:00.000,0.0001
2024-12-18 00:00:00.000,0.0001
2024-12-18 08:00:00.000,0.0001
2024-12-18 16:00:00.000,0.0001
2024-12-19 00:00:00.000,8.697e-05
2024-12-19 08:00:00.000,-7.23e-06
2024-12-19 16:00:00.000,6.987e-05
2024-12-20 00:00:00.000,6.967e-05
2024-12-20 08:00:00.001,0.0001
2024-12-20 16:00:00.014,4.752e-05
2024-12-21 00:00:00.000,0.0001
2024-12-21 08:00:00.000,0.0001
2024-12-21 16:00:00.001,0.0001
2024-12-22 00:00:00.000,0.0001
2024-12-22 08:00:00.000,0.0001
2024-12-22 16:00:00.000,0.0001
2024-12-23 00:00:00.000,-4.86e-06
2024-12-23 08:00:00.000,4.812e-05
2024-12-23 16:00:00.001,0.0001
2024-12-24 00:00:00.000,0.0001
2024-12-24 08:00:00.000,0.0001
2024-12-24 16:00:00.001,0.0001
2024-12-25 00:00:00.001,0.0001
2024-12-25 08:00:00.000,0.0001
2024-12-25 16:00:00.000,0.0001
2024-12-26 00:00:00.000,0.0001
2024-12-26 08:00:00.000,0.0001
2024-12-26 16:00:00.000,8.826e-05
2024-12-27 00:00:00.000,0.0001
2024-12-27 08:00:00.000,-1.654e-05
2024-12-27 16:00:00.000,4.06e-06
2024-12-28 00:00:00.001,0.0001
2024-12-28 08:00:00.000,5.376e-05
2024-12-28 16:00:00.000,0.0001
2024-12-29 00:00:00.000,0.0001
2024-12-29 08:00:00.000,0.0001
2024-12-29 16:00:00.000,0.0001
2024-12-30 00:00:00.000,8.545e-05
2024-12-30 08:00:00.001,4.725e-05
2024-12-30 16:00:00.000,-8.741e-05
2024-12-31 00:00:00.000,8.233e-05
2024-12-31 08:00:00.000,9.015e-05
2024-12-31 16:00:00.000,0.0001
2025-01-01 00:00:00.015,0.0001
2025-01-01 08:00:00.000,0.0001
2025-01-01 16:00:00.001,0.0001
2025-01-02 00:00:00.000,0.0001
2025-01-02 08:00:00.006,0.0001
2025-01-02 16:00:00.000,0.0001
2025-01-03 00:00:00.000,0.0001
2025-01-03 08:00:00.000,0.0001
2025-01-03 16:00:00.000,0.0001
2025-01-04 00:00:00.000,0.0001
2025-01-04 08:00:00.000,0.0001
2025-01-04 16:00:00.000,0.0001
2025-01-05 00:00:00.000,0.0001
2025-01-05 08:00:00.000,0.0001
2025-01-05 16:00:00.000,0.0001
2025-01-06 00:00:00.000,0.0001
2025-01-06 08:00:00.001,0.0001
2025-01-06 16:00:00.000,0.0001
2025-01-07 00:00:00.000,0.0001
2025-01-07 08:00:00.000,0.0001
2025-01-07 16:00:00.008,0.0001
2025-01-08 00:00:00.001,9.503e-05
2025-01-08 08:00:00.000,0.0001
2025-01-08 16:00:00.000,0.0001
2025-01-09 00:00:00.000,-0.00011221
2025-01-09 08:00:00.000,9.23e-05
2025-01-09 16:00:00.000,8.181e-05
2025-01-10 00:00:00.000,8.461e-05
2025-01-10 08:00:00.000,2.96e-05
2025-01-10 16:00:00.000,9.55e-05
2025-01-11 00:00:00.000,8.258e-05
2025-01-11 08:00:00.000,8.141e-05
2025-01-11 16:00:00.000,7.508e-05
2025-01-12 00:00:00.000,0.0001
2025-01-12 08:00:00.000,0.0001
2025-01-12 16:00:00.000,9.921e-05
2025-01-13 00:00:00.000,-2.576e-05
2025-01-13 08:00:00.000,-3.593e-05
2025-01-13 16:00:00.000,-8.17e-06
2025-01-14 00:00:00.000,2.753e-05
2025-01-14 08:00:00.000,-4.764e-05
2025-01-14 16:00:00.000,3.465e-05
2025-01-15 00:00:00.000,0.0001
2025-01-15 08:00:00.000,0.0001
2025-01-15 16:00:00.000,0.0001
2025-01-16 00:00:00.000,0.0001
2025-01-16 08:00:00.000,0.0001
2025-01-16 16:00:00.000,0.0001
2025-01-17 00:00:00.004,0.0001
2025-01-17 08:00:00.000,0.0001
2025-01-17 16:00:00.008,0.0001
2025-01-18 00:00:00.000,0.0001
2025-01-18 08:00:00.007,0.0001
2025-01-18 16:00:00.000,1.755e-05
2025-01-19 00:00:00.000,0.0001
2025-01-19 08:00:00.000,0.0001
2025-01-19 16:00:00.000,0.0001
2025-01-20 00:00:00.000,0.0001
2025-01-20 08:00:00.009,0.0001
2025-01-20 16:00:00.000,0.0001
2025-01-21 00:00:00.000,0.0001
2025-01-21 08:00:00.000,0.0001
2025-01-21 16:00:00.000,0.0001
2025-01-22 00:00:00.000,0.0001
2025-01-22 08:00:00.000,0.0001
2025-01-22 16:00:00.000,0.0001
2025-01-23 00:00:00.001,0.0001
2025-01-23 08:00:00.000,0.0001
2025-01-23 16:00:00.000,0.0001
2025-01-24 00:00:00.000,0.0001
2025-01-24 08:00:00.000,0.0001
2025-01-24 16:00:00.000,0.0001
2025-01-25 00:00:00.000,0.0001
2025-01-25 08:00:00.000,0.0001
2025-01-25 16:00:00.001,0.0001
2025-01-26 00:00:00.000,0.0001
2025-01-26 08:00:00.000,0.0001
2025-01-26 16:00:00.000,0.0001
2025-01-27 00:00:00.000,0.0001
2025-01-27 08:00:00.000,-5.042e-05
2025-01-27 16:00:00.000,-3.3e-06
2025-01-28 00:00:00.000,0.0001
2025-01-28 08:00:00.000,0.0001
2025-01-28 16:00:00.000,0.0001
2025-01-29 00:00:00.000,0.0001
2025-01-29 08:00:00.000,0.0001
